Time,Battery,Solar_panel,Indoor_temperature,Pressure,Outdoor_temperature,Outdoor_humidity,Solar_radiation,Wind_direction,Wind_speed,Rainfall_1,Rainfall_2,Counter
2000-01-31,0.0,0.0,21.0,794.0,18.74,58.06,248.92,105.87,0.0,1.8,0.0,41246.56
2000-02-29,,,,,,,,,,0.0,0.0,
2000-03-31,,,,,,,,,,0.0,0.0,
2000-04-30,,,,,,,,,,0.0,0.0,
2000-05-31,,,,,,,,,,0.0,0.0,
2000-06-30,,,,,,,,,,0.0,0.0,
2000-07-31,,,,,,,,,,0.0,0.0,
2000-08-31,,,,,,,,,,0.0,0.0,
2000-09-30,,,,,,,,,,0.0,0.0,
2000-10-31,,,,,,,,,,0.0,0.0,
2000-11-30,,,,,,,,,,0.0,0.0,
2000-12-31,,,,,,,,,,0.0,0.0,
2001-01-31,,,,,,,,,,0.0,0.0,
2001-02-28,,,,,,,,,,0.0,0.0,
2001-03-31,,,,,,,,,,0.0,0.0,
2001-04-30,,,,,,,,,,0.0,0.0,
2001-05-31,,,,,,,,,,0.0,0.0,
2001-06-30,,,,,,,,,,0.0,0.0,
2001-07-31,,,,,,,,,,0.0,0.0,
2001-08-31,,,,,,,,,,0.0,0.0,
2001-09-30,,,,,,,,,,0.0,0.0,
2001-10-31,,,,,,,,,,0.0,0.0,
2001-11-30,,,,,,,,,,0.0,0.0,
2001-12-31,,,,,,,,,,0.0,0.0,
2002-01-31,,,,,,,,,,0.0,0.0,
2002-02-28,,,,,,,,,,0.0,0.0,
2002-03-31,,,,,,,,,,0.0,0.0,
2002-04-30,,,,,,,,,,0.0,0.0,
2002-05-31,,,,,,,,,,0.0,0.0,
2002-06-30,,,,,,,,,,0.0,0.0,
2002-07-31,,,,,,,,,,0.0,0.0,
2002-08-31,,,,,,,,,,0.0,0.0,
2002-09-30,,,,,,,,,,0.0,0.0,
2002-10-31,,,,,,,,,,0.0,0.0,
2002-11-30,,,,,,,,,,0.0,0.0,
2002-12-31,,,,,,,,,,0.0,0.0,
2003-01-31,,,,,,,,,,0.0,0.0,
2003-02-28,,,,,,,,,,0.0,0.0,
